apartment_sale_PSF_PPU_mean,apartment_sale_PricePerLandSqFt_mean,apartment_sale_PSF_PPU_median,apartment_sale_PricePerLandSqFt_median,office_sale_PSF_PPU_mean,office_sale_PricePerLandSqFt_mean,office_sale_PSF_PPU_median,office_sale_PricePerLandSqFt_median,apartment_refinance_PSF_PPU_mean,apartment_refinance_PricePerLandSqFt_mean,apartment_refinance_PSF_PPU_median,apartment_refinance_PricePerLandSqFt_median,office_ref_PSF_PPU_mean,office_ref_PricePerLandSqFt_mean,office_ref_PSF_PPU_median,office_ref_PricePerLandSqFt_median,fips
216666.7,149.2195,216666.7,149.2195,328.3433,437.037,328.3433,437.037,271186.3333,315.6380333,264531.25,336.1665,,,,,6001420200
262500,723.1405,262500,723.1405,,,,,227777.8,370.0361,227777.8,370.0361,,,,,6001420600
105416.7,313.1188,105416.7,313.1188,,,,,250000,742.5743,250000,742.5743,,,,,6001421600
311612,289.048025,327890.65,299.23695,,,,,361123.7,522.9041667,336426.65,447.73875,,,,,6001421700
180878,432.3106,180878,432.3106,,,,,225000,409.0909,225000,409.0909,,,,,6001421900
172493.95,529.42835,172493.95,529.42835,,,,,176147.35,453.37495,180555.55,369.2017,,,,,6001422200
361654.8,917.1595333,318131.05,799.75985,196.5959,545.8097333,198.4569,479.077,329677.8,756.7316875,343093.3,727.59015,228.1352,742.6615,206.2962,745.3416,6001422400
269296.5429,429.1762857,260000,432,,,,,255183.22,689.40348,263103.4,604.0024,,,,,6001422500
244184.1,503.31905,244184.1,503.31905,,,,,339175.4333,683.7976,346153.7,692.3074,,,,,6001422700
227525.6,1515.37475,203381.8,1562.5,340.4856,265.708,340.4856,265.708,207042.7833,899.97385,191118.8,379.1569,245.1461,191.307,245.1461,191.307,6001422800
363911.5375,1170.872688,413177.4,1252.26565,305.7540143,853.0271357,283.17655,731.17465,314395.6059,1104.428053,312500,1039.077,304.79785,701.3033833,324.01645,697.18405,6001422900
258837.8667,437.2121,234210.5,365.7993,,,,,295306.6333,753.2142833,283333.35,688.07305,,,,,6001423000
290342.85,736.024575,266816.65,639.1215,,,,,306887.3,610.1923,306887.3,610.1923,,,,,6001423100
140833.3,126.75,140833.3,126.75,,,,,177777.8,160,177777.8,160,,,,,6001423200
229380.9667,260.5974667,231000,278.8462,,,,,320501.8,2744.3751,315000,777.7778,,,,,6001423500
245880,544.0975,269387.8,555.7945,410.9589,180.1802,410.9589,180.1802,307316.6813,575.38255,314413.25,608.28645,,,,,6001423602
184062.5,355.8498,184062.5,355.8498,,,,,261618.5,547.09195,261618.5,547.09195,,,,,6001423700
330022.7,406.5321,330022.7,406.5321,341.72205,533.4579,341.72205,533.4579,220467.85,692.9806,220467.85,692.9806,,,,,6001423902
320678.575,306.64165,306833.35,281.13465,,,,,357142.8,1058.799,357142.8,1058.799,,,,,6001424001
309800,397.1795,309800,397.1795,,,,,265306.1,760.2339,265306.1,760.2339,,,,,6001424002
250000,901.1983,250000,901.1983,193.87255,100.7335,193.87255,100.7335,,,,,351.7017,549.4425,351.7017,549.4425,6001425102
523325.3,899.7642,523325.3,899.7642,423.9056,599.81645,423.9056,599.81645,,,,,358.2258,915.7568,358.2258,915.7568,6001425103
271313.1333,316.9405667,211666.7,258.8384,,,,,,,,,,,,,6001425104
267889.885,266.28455,267889.885,266.28455,237.03275,69.64635,237.03275,69.64635,496428.6,493.4538,496428.6,493.4538,,,,,6001427300
277437.88,247.81934,266397.8,268.8786,,,,,,,,,,,,,6001427600
209442.4,282.97465,209442.4,282.97465,,,,,166666.65,382.3957,166666.65,382.3957,,,,,6001427800
