net_metering,feedin_tariff,cooperate_tax,property_tax,sales_tax,rebate,avg_electricity_retail_rate,incentive_count_residential,incentive_count_nonresidential,incentive_residential_state_level,incentive_nonresidential_state_level,average_household_size,housing_unit_median_gross_rent,housing_unit_median_value,average_household_income,gini_index,population_density,poverty_family_below_poverty_level_rate,employ_rate,race_asian_rate,race_black_africa_rate,race_white_rate,race_indian_alaska_rate,race_islander_rate,race_two_more_rate,diversity,heating_fuel_coal_coke_rate,heating_fuel_electricity_rate,heating_fuel_solar_rate,heating_fuel_fuel_oil_kerosene_rate,heating_fuel_gas_rate,heating_fuel_none_rate,electricity_price_residential,voting_2016_dem_percentage,voting_2016_gop_percentage,education_less_than_high_school_rate,education_high_school_graduate_rate,education_college_rate,education_bachelor_rate,education_master_rate,education_professional_school_rate,education_doctoral_rate,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,age_35_44_rate,age_45_54_rate,age_65_74_rate,age_55_64_rate,age_10_14_rate,age_15_17_rate,age_5_9_rate,household_type_family_rate,dropout_16_19_inschool_rate,occupation_construction_rate,occupation_public_rate,occupation_information_rate,occupation_finance_rate,occupation_education_rate,occupation_administrative_rate,occupation_manufacturing_rate,occupation_wholesale_rate,occupation_retail_rate,occupation_transportation_rate,occupation_arts_rate,occupation_agriculture_rate,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,transportation_home_rate,transportation_car_alone_rate,transportation_walk_rate,transportation_carpool_rate,transportation_motorcycle_rate,transportation_bicycle_rate,transportation_public_rate,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate,health_insurance_public_rate,health_insurance_none_rate,age_median,travel_time_average,number_of_years_of_education,fips
21,9,0,38,0,10,14.72,75,85,15,16,3.03,1071,806000,105677.68,0.5431,1384.357,0.113801453,0.88173731,0.388459681,0.15041043,0.364799614,0.002655722,0.014727185,0.035007243,0.690016836,0,0.3336,0,0,0.6224,0.044,16.99,0.793142475,0.148711258,0.085167074,0.17603912,0.282803586,0.319885901,0.074979625,0.054604727,0.006519967,0.145098986,0.103573153,0.004828585,0.026798648,0.217527764,0.139546113,0.031627233,0.06856591,0.066875905,0.03259295,0.081361661,0.6608,1,0.007121662,0.066468843,0.023738872,0.085459941,0.211275964,0.18694362,0.058160237,0.011869436,0.16735905,0.074183976,0.091394659,0,0.157681941,0.309973046,0.908695652,0.152224824,0.471194379,0.04028103,0.110070258,0.01498829,0.017330211,0.139578454,0.069060773,0.306629834,0.152486188,0.210497238,0.155801105,0.096132597,0.322553897,0.070204533,34.3,28,14.50448248,6001428700
21,9,0,38,0,10,14.72,75,85,15,16,2.21,1402,745000,95103.25,0.4477,16158.68,0.016129032,0.941813261,0.155865922,0.013128492,0.732122905,0.005027933,0,0.066201117,0.434356918,0.01,0.274375,0,0.010625,0.699375,0.005625,16.99,0.793142475,0.148711258,0.017718715,0.044665928,0.101144334,0.34662237,0.317091178,0.094499815,0.07825766,0.129050279,0.253351955,0.02849162,0.023184358,0.140782123,0.087150838,0.095530726,0.128212291,0.019832402,0.017877095,0.027374302,0.42625,1,0.045977011,0.040229885,0.043582375,0.045019157,0.445881226,0.171934866,0.026819923,0,0.058429119,0.016283525,0.06848659,0,0.056047198,0.330973451,0.652406417,0.107669617,0.283185841,0.179941003,0.029006883,0.01425762,0.130776794,0.251229105,0.048484848,0.35922865,0.18677686,0.130578512,0.167493113,0.082093664,0.187429854,0.076599327,35.2,28,16.97526763,6001421700
21,9,0,38,0,10,14.72,75,85,15,16,2.71,2321,603100,138856.3508,0.3761,3236.219,0.007186858,0.949498023,0.176302748,0.016969515,0.732091906,0.006157081,0.005256044,0.027932122,0.430579654,0.006619777,0.099296649,0,0,0.884567646,0.009515929,16.99,0.793142475,0.148711258,0.034126984,0.213293651,0.34702381,0.266666667,0.082142857,0.039484127,0.017261905,0.046403364,0.090403965,0.033788857,0.045352155,0.118035741,0.173899985,0.088151374,0.207238324,0.039945938,0.021474696,0.065625469,0.805957799,0.994923858,0.058955463,0.057033002,0.021787888,0.069528997,0.226209548,0.164690804,0.080743351,0.023710349,0.098045498,0.07818007,0.067286126,0,0,0.926768722,0.714285714,0.079987047,0.66742228,0,0.116580311,0,0,0.127266839,0.047518479,0.172474481,0.232312566,0.205561422,0.177050334,0.128827878,0.205100956,0.053134963,49,34,14.62777778,6001430200
21,9,0,38,0,10,14.72,75,85,15,16,2.89,1894,632200,117097.498,0.3864,3150.354,0.023613963,0.957810718,0.105102607,0.203549639,0.593455352,0.008319468,0,0.032168608,0.590932442,0.030669895,0.079096045,0.002421308,0,0.887812752,0,16.99,0.793142475,0.148711258,0.072328322,0.234863876,0.329134498,0.206420154,0.086956522,0.033319789,0.036976839,0.083194676,0.053244592,0.021907931,0.076816417,0.09484193,0.173876872,0.087631725,0.174154187,0.120909595,0.037992235,0.046311703,0.786117837,1,0.086904762,0.011309524,0.041666667,0.075,0.270833333,0.126190476,0.107738095,0.025,0.061904762,0.039285714,0.076785714,0,0.071214393,0.745877061,0.632160804,0.079608083,0.782608696,0.005511329,0.062461727,0.004286589,0.006736069,0.058787508,0.073186959,0.243512974,0.235528942,0.166333999,0.137059215,0.099800399,0.303105935,0.085690516,49,30,14.3490451,6001430300
21,9,0,38,0,10,14.72,75,85,15,16,2.64,1627,1082500,243729.713,0.4666,4805.706,0,0.946088795,0.15572564,0.049161024,0.70768325,0,0.005004416,0.055048572,0.468712241,0,0.213343677,0,0,0.775019395,0.011636928,16.99,0.793142475,0.148711258,0.028268551,0.060855909,0.095798979,0.343541421,0.241067923,0.153121319,0.077345897,0.039446571,0.09478952,0.018545776,0.043567854,0.151898734,0.172799529,0.12864292,0.139534884,0.068295555,0.027965852,0.041507212,0.705197828,1,0.026256983,0.026815642,0.026256983,0.111731844,0.261452514,0.303910615,0.05027933,0.039106145,0.023463687,0.029050279,0.027932961,0.012290503,0.037341299,0.784167289,0.765714286,0.182122905,0.527374302,0.006703911,0.063687151,0,0.037430168,0.172625698,0.092896175,0.298497268,0.144125683,0.118852459,0.272540984,0.051912568,0.212834854,0.008536944,45.1,29,16.97330192,6001404300
21,9,0,38,0,10,14.72,75,85,15,16,2.77,1277,419800,76879.52639,0.4076,6144.849,0.090057637,0.901476252,0.158727596,0.153237526,0.528338447,0.005328597,0.026320039,0.049249152,0.662826453,0,0.16822891,0.007400099,0,0.815490873,0.008880118,16.99,0.793142475,0.148711258,0.14680997,0.28401555,0.306425795,0.196890007,0.058998399,0.006860279,0,0.058453092,0.145648313,0.016147263,0.020829969,0.144356532,0.146940094,0.056999839,0.175197804,0.069433231,0.077829808,0.048764734,0.684755797,0.983050847,0.053755785,0.046991812,0.016019936,0.07262371,0.233179067,0.150231399,0.112851549,0.025987896,0.076895692,0.068351727,0.067283731,0.006051976,0.050140581,0.558575445,0.80033557,0.045081967,0.792846498,0,0.090163934,0.003725782,0,0.068181818,0.040187281,0.31876707,0.242294186,0.13655872,0.14709325,0.098322279,0.361174609,0.07209425,39.6,29,13.22890464,6001430500
21,9,0,38,0,10,14.72,75,85,15,16,2.67,1559,560600,116433.8928,0.3821,6575.362,0.053479381,0.930467762,0.30458268,0.033978045,0.556891445,0,0.025091479,0.066387872,0.590739086,0,0.207459207,0,0,0.763636364,0.028904429,16.99,0.793142475,0.148711258,0.069216758,0.198315118,0.297358834,0.276867031,0.094717668,0.043260474,0.020264117,0.062554452,0.132601499,0.027356682,0.035546262,0.113782889,0.134518209,0.089736888,0.231747691,0.036069002,0.014636696,0.046175292,0.723543124,1,0.051290761,0.078125,0.015964674,0.076766304,0.208899457,0.124660326,0.130774457,0.053668478,0.093070652,0.050611413,0.060461957,0,0.01695692,0.830889093,0.720904578,0.048618398,0.678209164,0.010493179,0.12941588,0,0,0.133263379,0.031617647,0.205514706,0.127573529,0.185661765,0.186764706,0.23125,0.215432961,0.065293296,47,37,14.56534608,6001430600
21,9,0,38,0,10,14.72,75,85,15,16,2.99,1786,508800,112757.7847,0.3305,7662.46,0,0.938512869,0.158957322,0.039355993,0.720930233,0,0,0.062356248,0.449216406,0,0.150271108,0,0,0.844306739,0,16.99,0.793142475,0.148711258,0.042047532,0.222303473,0.359780622,0.249360146,0.089945155,0.02047532,0.016087751,0.068234091,0.143879376,0.043956044,0.011244569,0.13059034,0.176079734,0.078456427,0.114745719,0.080500894,0.038844876,0.050345004,0.786212239,1,0.122905028,0.044184865,0.01523616,0.043676993,0.243778568,0.122905028,0.070086338,0.041645505,0.153377349,0.061960386,0.048755714,0,0.038719285,0.731198809,0.756619145,0.099344978,0.783842795,0,0.026746725,0.004912664,0.011462882,0.063318777,0.044242424,0.170909091,0.230909091,0.187878788,0.174545455,0.157575758,0.194323702,0.082843263,40.7,34,14.41755027,6001430700
21,9,0,38,0,10,14.72,75,85,15,16,2.86,1282,490100,96663.9414,0.3807,8734.732,0.04234122,0.951522685,0.241175505,0.017731079,0.637990478,0.006567066,0.007880479,0.035626334,0.53030159,0,0.194706994,0,0,0.800567108,0,16.99,0.793142475,0.148711258,0.077785564,0.317449194,0.329128708,0.179630927,0.036673674,0.052557814,0.006774118,0.066327368,0.159743884,0.036447217,0.04120834,0.160236414,0.122804137,0.069446725,0.112953538,0.047775406,0.016417665,0.070103431,0.758979206,0.964,0.062377531,0.0365774,0.034291313,0.083605487,0.186806009,0.128347485,0.109079033,0.00751143,0.13455258,0.050293926,0.080013063,0.027759634,0.041232442,0.575441776,0.734645669,0.087392055,0.686701209,0.016925734,0.13402418,0,0,0.074956822,0.037850114,0.208932627,0.241483724,0.209311128,0.208554126,0.053747161,0.2676776,0.094775012,37.6,32,13.8196683,6001430800
21,9,0,38,0,10,14.72,75,85,15,16,2.59,1346,387000,65064.764,0.4157,11859.28,0.169111303,0.889724311,0.163911571,0.141804421,0.523600876,0.012148974,0.007767377,0.072097192,0.667271786,0.005488474,0.268386389,0,0,0.709659715,0.016465423,16.99,0.793142475,0.148711258,0.11855511,0.229700525,0.39734486,0.172584131,0.066378512,0.006174745,0.009262118,0.06632145,0.169886477,0.025094603,0.045409281,0.132443736,0.132045409,0.046405099,0.093806015,0.074885481,0.053973312,0.084047003,0.63611416,1,0.05915493,0.020657277,0.021126761,0.031455399,0.212206573,0.17370892,0.081690141,0.03286385,0.142723005,0.038967136,0.115023474,0,0.039029536,0.232594937,0.659863946,0.055084746,0.732109228,0.035781544,0.061676083,0,0.003766478,0.098870056,0.095665172,0.170403587,0.248629796,0.181863478,0.140009965,0.13303438,0.37962578,0.06049896,34.1,31,13.54800864,6001430900
21,9,0,38,0,10,14.72,75,85,15,16,2.58,1423,393500,67714.32337,0.4045,7980.06,0.100490196,0.915276851,0.204421769,0.022789116,0.634693878,0,0.032312925,0.085034014,0.546150678,0.021968366,0.284710018,0,0,0.693321617,0,16.99,0.793142475,0.148711258,0.168633235,0.348082596,0.304818092,0.132743363,0.041789577,0,0.003933137,0.082653061,0.15,0.02244898,0.032993197,0.142176871,0.154761905,0.056802721,0.132653061,0.074489796,0.022108844,0.050680272,0.717047452,0.7890625,0.090379009,0.032798834,0.032069971,0.059037901,0.185860058,0.096938776,0.064139942,0.014577259,0.106413994,0.051020408,0.180758017,0.008746356,0.074043938,0.305126119,0.632,0,0.684249629,0.029717682,0.092124814,0,0,0.173105498,0.066121842,0.213967311,0.251114413,0.201337296,0.17384844,0.041604755,0.320068027,0.102040816,37.2,30,12.75221239,6001431000
