,population_density,average_household_income,employ_rate,gini_index,poverty_family_below_poverty_level_rate,housing_unit_median_value,housing_unit_median_gross_rent,age_median,voting_2016_dem_percentage,voting_2016_gop_percentage,number_of_years_of_education,diversity,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,dropout_16_19_inschool_rate,health_insurance_none_rate,education_less_than_high_school_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,average_household_size,household_type_family_rate,fips
0,60956.57,165315.561843,0.9649829563060001,0.4389,0.038062283737,838700.0,2180.0,34.0,0.8553169356270001,0.09442505372369996,16.8008002286,0.4469627511330001,0.051743963204300004,0.175162897662,0.728665207877,0.8235294117649999,0.039793662490800005,0.0,0.715303365267,0.0289855072464,0.0,0.196020633751,0.0,0.0169491525424,0.0427413411938,1.61,0.233629749394,6075013101
1,30723.19,159044.1247,0.9845617529880001,0.5263,0.0,1245500.0,2077.0,36.7,0.8553169356270001,0.09442505372369996,16.4541552868,0.270808997846,0.051194539249099995,0.192263936291,0.547337278107,1.0,0.0439249025859,0.0183378852907,0.8452001416930001,0.0031880977683300003,0.0,0.12008501594000001,0.00389656393907,0.0141693234148,0.0134608572441,1.66,0.346522781775,6075013102
2,14503.92,122755.215577,0.933811129848,0.4296,0.14578313253,639200.0,1721.0,31.0,0.733480189578,0.20852979907400002,14.661717921500001,0.613811177749,0.0445182724252,0.253156146179,0.708661417323,1.0,0.137939892114,0.141746200071,0.493449781659,0.0279989725148,0.0,0.3665553557670001,0.000256871307475,0.0814282044696,0.030310814281999998,2.7,0.57719054242,6085508800
3,8496.773000000001,96308.58480750001,0.952866593164,0.371,0.057846153846199996,460900.0,1996.0,37.0,0.7931424750689999,0.148711258246,13.1040239726,0.738347001677,0.042828685259,0.774402390438,0.782636655949,1.0,0.107805596465,0.135059931507,0.31693667157600003,0.046539027982299995,0.0,0.231516936672,0.022091310751099998,0.317231222386,0.06568483063330001,3.52,0.84547346514,6001444200
4,11867.79,61608.0664294,0.902059688945,0.4446,0.198062432723,345600.0,1170.0,36.8,0.7931424750689999,0.148711258246,14.1085324232,0.657609276265,0.10651828298900001,0.38844727079999997,0.8158253751710001,1.0,0.09607938044530001,0.120136518771,0.24298160696999996,0.517182962246,0.021781219748299996,0.053727008712499996,0.00726040658277,0.0706679574056,0.08639883833489999,2.45,0.551008303677,6001408200
5,8155.749,116194.476615,0.956429652042,0.3975,0.0409836065574,532800.0,1826.0,33.1,0.7931424750689999,0.148711258246,15.0457112127,0.562962563587,0.0583053691275,0.322567114094,0.9310793237970001,1.0,0.055357848952199994,0.05592901317559999,0.604154418969,0.041936116010199996,0.0,0.254752106604,0.00195963158926,0.030570252792500002,0.0666274740349,2.27,0.597772828508,6001450200
6,5480.57,93153.1425365,0.859270290395,0.4581,0.09512390087929999,356300.0,1320.0,39.5,0.689128114392,0.254389718539,13.4662629758,0.642448084946,0.0742857142857,0.524675324675,0.7693069306929999,0.943775100402,0.118476430976,0.12024221453299999,0.546085858586,0.126893939394,0.0132575757576,0.186026936027,0.00462962962963,0.0408249158249,0.0822811447811,2.65,0.7020202020199999,6013360200
7,13808.38,78416.51715039999,0.915170042033,0.3861,0.0986328125,481400.0,1371.0,40.5,0.7931424750689999,0.148711258246,14.5925710969,0.6057403410809999,0.0375825292026,0.272219400711,0.625,1.0,0.115563156609,0.09721416134649999,0.559164206223,0.0529184646832,0.008630479218709998,0.270497388144,0.00363388598683,0.0504201680672,0.054735407676599984,2.16,0.54036939314,6001428400
8,16158.68,95103.25,0.941813261164,0.4477,0.0161290322581,745000.0,1402.0,35.2,0.7931424750689999,0.148711258246,16.9752676264,0.43435691769900003,0.0560471976401,0.330973451327,0.652406417112,1.0,0.0765993265993,0.0177187153931,0.732122905028,0.013128491620100002,0.00502793296089,0.155865921788,0.0,0.0276536312849,0.0662011173184,2.21,0.42625,6001421700
9,2156.831,172374.22452000002,0.981501632209,0.3395,0.00883392226148,897600.0,,47.6,0.7931424750689999,0.148711258246,15.6080743123,0.335283856718,0.022382671480099998,0.964620938628,0.775449101796,1.0,0.0261109716294,0.0264380135763,0.806176249058,0.00627667587246,0.00426813959327,0.103690685413,0.0160682902335,0.0025106703489800003,0.0610092894803,2.93,0.8360413589360001,6001451102
